tabla,variable,cantidad_sql,nulos_sql,media_sql,mediana_sql,moda_sql,frecuencia_moda_sql
clientes,edad,6500,0,36.305231,36.0,18,465
clientes,genero,6500,0,0.481231,0.0,0,3372
clientes,venta_total,6500,0,206.242431,137.35,98,12
clientes,n_compras,6500,0,5.09,4.0,2,1044
compras,monto_compra,6500,0,39.787056,35.764,37.145,5
compras,metodo_pago,6500,0,1.039846,1.0,1,3827
compras,tiempo,6500,0,767.376154,768.0,852,24
compras,navegador,6500,0,0.882308,0.0,0,3523
compras,boletin,6500,0,0.449385,0.0,0,3579
compras,vale,6500,0,0.192923,0.0,0,5246
