Id_cliente;Edad;Genero;Venta_total;N_Compras;FechaCompra;MontoCompra;MetodoPago;Tiempo;Navegador;Boletin;Vale
504308;18;1;737.4;8;2/02/2021;109.054;2;1022;0;1;0
504309;46;1;689.2;17;10/10/2021;35.326;1;865;0;0;0
504310;38;0;95.6;1;27/08/2021;89.353;2;900;2;1;1
504311;44;1;75.7;2;10/06/2021;27.22;1;793;0;1;0
504312;41;0;46;2;8/06/2021;28.531;0;729;0;0;0
504313;24;1;20.9;1;10/11/2021;16.611;1;878;2;0;1
504314;18;1;269;6;1/02/2021;44.661;1;807;1;1;0
504315;27;0;376.5;10;12/09/2021;54.977;2;689;3;1;1
504316;43;0;122.3;4;15/03/2021;42.839;1;525;0;0;1
504317;44;0;239.4;5;4/02/2021;43.883;1;932;1;1;0
504318;20;1;220.5;6;12/07/2021;49.296;0;859;0;1;0
504319;24;0;224.7;11;23/12/2021;20.614;1;651;1;1;1
504320;27;0;89.5;3;26/09/2021;36.122;0;992;0;0;0
504321;32;1;222.8;4;5/10/2021;73.833;1;824;0;0;0
504322;20;0;98.4;4;19/09/2021;34.432;0;757;4;0;1
504323;19;1;48.8;4;14/10/2021;18.26;0;919;1;1;0
504324;26;1;1481.3;25;7/07/2021;58.086;0;880;1;0;0
504325;37;0;271.9;7;16/02/2021;37.418;1;833;0;1;0
504326;22;0;200.8;7;3/11/2021;38.581;1;726;1;0;1
504327;35;1;222.7;9;14/06/2021;34.512;0;1137;0;0;1
504328;49;1;110.8;3;2/07/2021;54.547;1;648;0;0;0
504329;20;0;65.3;3;16/05/2021;25.959;1;914;0;1;0
504330;34;1;1107.9;15;8/03/2021;67.091;0;765;0;0;0
504331;48;0;39.1;1;5/12/2021;37.145;1;862;0;1;0
504332;31;0;904.5;16;13/10/2021;54.114;1;962;2;1;0
504333;29;1;312.7;5;24/08/2021;61.269;1;724;0;1;1
504334;50;0;75.7;5;27/05/2021;20.763;1;848;2;1;0
504335;32;0;286.1;4;28/10/2021;42.092;1;768;3;1;0
504336;49;1;414.2;10;19/07/2021;36.4;2;665;0;1;1
504337;41;0;172.4;4;11/06/2021;47.971;1;986;1;0;0
504338;32;0;151;7;14/06/2021;34.061;1;908;0;1;0
504339;42;0;77.4;7;24/03/2021;14.551;1;642;3;1;0
504340;40;1;160;2;3/02/2021;49.953;1;979;0;0;0
504341;48;1;87.2;6;22/07/2021;13.203;1;630;0;0;0
504342;29;1;39.6;1;21/11/2021;37.302;1;775;0;1;0
504343;36;0;490.2;7;24/01/2021;79.649;1;643;3;1;0
504344;35;1;183.7;2;10/11/2021;65.749;1;915;0;0;0
504345;44;1;378.4;8;30/10/2021;47.609;1;654;2;1;1
504346;24;0;28.4;1;12/04/2021;26.98;1;917;0;0;0
504347;48;0;122.5;5;19/08/2021;41.666;1;867;1;0;1
504348;42;1;276.8;5;2/03/2021;66.648;1;712;0;1;1
504349;20;0;293.1;11;4/10/2021;23.311;1;1109;0;0;0
504350;50;1;306;6;13/09/2021;50.156;2;646;0;0;1
504351;63;1;56.4;3;10/05/2021;24.582;2;526;0;1;0
504352;48;0;91.7;3;25/01/2021;31.125;2;894;2;0;0
504353;53;1;135;4;21/12/2021;29.736;0;373;1;0;0
504354;37;1;749.8;12;12/06/2021;49.77;1;1049;0;1;1
504355;18;0;268.5;7;22/11/2021;42.559;1;798;0;0;0
504356;18;1;677.6;5;5/09/2021;87.631;0;523;0;1;0
